"product_name","total_revenue","avg_sale"
"Probiotic Kefir Premium","670348.650000000","173.755482115086"
"Ginger Shot Premium #35","641426.790000000","165.486787925697"
"Raspberries Classic #33","636396.340000000","165.040544605809"
"Kombucha Classic","636296.010000000","160.235711407706"
"Apple Juice Cloudy Small Pack #17","612397.040000000","155.509659725749"
"Ginger Shot Premium #20","608963.630000000","152.545999498998"
"Apple Juice Cloudy Premium","598046.890000000","146.976379945933"
"Shrimp Cleaned Family Pack","593417.030000000","151.730255689082"
"Cold Pressed Orange Juice Family Pack","588786.030000000","149.022027334852"
"Turkey Fillet Family Pack","581475.720000000","145.368930000000"
