"sale_month","monthly_revenue","previous_monthly_revenue","revenue_diff_vs_previous"
"2022-01-01 00:00:00","2637841.50","0.00","2637841.50"
"2022-02-01 00:00:00","2710828.01","2637841.50","72986.51"
"2022-03-01 00:00:00","2686531.92","2710828.01","-24296.09"
"2022-04-01 00:00:00","2597125.38","2686531.92","-89406.54"
"2022-05-01 00:00:00","2807940.33","2597125.38","210814.95"
"2022-06-01 00:00:00","3166316.21","2807940.33","358375.88"
"2022-07-01 00:00:00","3805535.21","3166316.21","639219.00"
"2022-08-01 00:00:00","3066435.72","3805535.21","-739099.49"
"2022-09-01 00:00:00","2750297.86","3066435.72","-316137.86"
"2022-10-01 00:00:00","2704763.33","2750297.86","-45534.53"
"2022-11-01 00:00:00","3000733.82","2704763.33","295970.49"
"2022-12-01 00:00:00","3274566.08","3000733.82","273832.26"
"2023-01-01 00:00:00","2835324.39","3274566.08","-439241.69"
"2023-02-01 00:00:00","2584150.59","2835324.39","-251173.80"
"2023-03-01 00:00:00","2697708.41","2584150.59","113557.82"
"2023-04-01 00:00:00","2653231.68","2697708.41","-44476.73"
"2023-05-01 00:00:00","2865421.81","2653231.68","212190.13"
"2023-06-01 00:00:00","3096707.93","2865421.81","231286.12"
"2023-07-01 00:00:00","3827570.03","3096707.93","730862.10"
"2023-08-01 00:00:00","3035726.72","3827570.03","-791843.31"
"2023-09-01 00:00:00","2829694.17","3035726.72","-206032.55"
"2023-10-01 00:00:00","2759846.35","2829694.17","-69847.82"
"2023-11-01 00:00:00","2898601.38","2759846.35","138755.03"
"2023-12-01 00:00:00","3289176.54","2898601.38","390575.16"
