"product_id","product_name","is_allergic","resistant"
49,"Zucchini","Yes","Yes"
57,"Spinach Leaves Family Pack","Yes","Yes"
59,"Tomatoes Premium #14","Yes","Yes"
64,"Bell Peppers Family Pack #19","Yes","Yes"
67,"Tomatoes Small Pack","Yes","Yes"
73,"Potatoes Family Pack","Yes","Yes"
82,"Carrots Premium #37","Yes","Yes"
84,"Tomatoes Small Pack #39","Yes","Yes"
86,"Potatoes #41","Yes","Yes"
93,"Sourdough Baguette","Yes","Yes"
98,"Wholegrain Bread Family Pack","Yes","Yes"
100,"Sourdough Baguette Family Pack","Yes","Yes"
103,"Wholegrain Bread Premium","Yes","Yes"
104,"Seeded Loaf Classic","Yes","Yes"
107,"Sourdough Baguette #17","Yes","Yes"
108,"Oat Rolls Family Pack","Yes","Yes"
112,"Rye Bread Family Pack","Yes","Yes"
131,"Cashew Spread #6","Yes","Yes"
138,"Almond Milk Family Pack","Yes","Yes"
141,"Cashew Spread Small Pack #16","Yes","Yes"
155,"Cashew Spread Small Pack #30","Yes","Yes"
158,"Almond Milk Classic #33","Yes","Yes"
163,"Turkey Fillet Family Pack","Yes","Yes"
165,"Chicken Thighs Family Pack","Yes","Yes"
167,"Beef Mince","Yes","Yes"
169,"Turkey Fillet Classic","Yes","Yes"
171,"Chicken Breast","Yes","Yes"
181,"Turkey Fillet Premium","Yes","Yes"
185,"Beef Mince Family Pack","Yes","Yes"
191,"Beef Sirloin Premium #31","Yes","Yes"
199,"Turkey Fillet Premium #39","Yes","Yes"
201,"Salmon Fillet Family Pack","Yes","Yes"
205,"Salmon Fillet Classic","Yes","Yes"
207,"Trout Family Pack","Yes","Yes"
208,"Salmon Fillet Premium","Yes","Yes"
218,"Shrimp Cleaned","Yes","Yes"
223,"Trout Small Pack #23","Yes","Yes"
232,"Tuna Fillet","Yes","Yes"
234,"Trout Classic","Yes","Yes"
247,"Ginger Shot Small Pack","Yes","Yes"
251,"Ginger Shot Premium #16","Yes","Yes"
253,"Cold Pressed Orange Juice","Yes","Yes"
256,"Ginger Shot Family Pack #21","Yes","Yes"
259,"Ginger Shot Small Pack #24","Yes","Yes"
264,"Ginger Shot Premium #29","Yes","Yes"
268,"Cold Pressed Orange Juice Small Pack","Yes","Yes"
271,"Dried Mango Small Pack","Yes","Yes"
274,"Trail Mix Small Pack","Yes","Yes"
281,"Nut Bar","Yes","Yes"
286,"Mixed Nuts","Yes","Yes"
288,"Mixed Nuts #18","Yes","Yes"
290,"Nut Bar Small Pack #20","Yes","Yes"
298,"Sesame Crackers Premium #28","Yes","Yes"
299,"Sesame Crackers","Yes","Yes"
300,"Granola Bar Small Pack #30","Yes","Yes"
302,"Sesame Crackers Classic","Yes","Yes"
311,"Frozen Vegetable Mix Classic","Yes","Yes"
316,"Frozen Spinach Classic","Yes","Yes"
320,"Berry Mix Classic","Yes","Yes"
324,"Frozen Broccoli","Yes","Yes"
326,"Frozen Broccoli Small Pack","Yes","Yes"
327,"Frozen Peas #22","Yes","Yes"
328,"Frozen Spinach","Yes","Yes"
329,"Frozen Peas Small Pack #24","Yes","Yes"
337,"Dish Soap Small Pack","Yes","Yes"
338,"Laundry Detergent","Yes","Yes"
339,"Trash Bags Biodegradable Premium","Yes","Yes"
343,"Bamboo Paper Towels Family Pack","Yes","Yes"
348,"Dish Soap","Yes","Yes"
349,"Trash Bags Biodegradable Family Pack","Yes","Yes"
355,"Bamboo Paper Towels Classic #20","Yes","Yes"
356,"Laundry Detergent Small Pack","Yes","Yes"
357,"Laundry Detergent Small Pack #22","Yes","Yes"
359,"Glass Cleaner Classic","Yes","Yes"
360,"Trash Bags Biodegradable Small Pack","Yes","Yes"
361,"Laundry Detergent #26","Yes","Yes"
365,"Laundry Detergent Classic #30","Yes","Yes"
370,"Body Lotion Mild Small Pack","Yes","Yes"
378,"Body Lotion Mild Classic #13","Yes","Yes"
382,"Shampoo Herbal Premium","Yes","Yes"
386,"Hand Cream Classic","Yes","Yes"
389,"Shampoo Herbal Classic #24","Yes","Yes"
393,"Toothpaste Natural Premium #28","Yes","Yes"
399,"Baby Cereal","Yes","Yes"
402,"Baby Cereal Small Pack","Yes","Yes"
407,"Baby Puree Apple Small Pack","Yes","Yes"
408,"Baby Wet Wipes #13","Yes","Yes"
410,"Baby Wet Wipes #15","Yes","Yes"
411,"Baby Puree Apple Premium #16","Yes","Yes"
418,"Baby Cereal Premium #23","Yes","Yes"
421,"Dog Food Grain Free Premium","Yes","Yes"
422,"Cat Treats Soft Family Pack","Yes","Yes"
426,"Cat Treats Soft Family Pack #6","Yes","Yes"
428,"Cat Food Salmon Small Pack #8","Yes","Yes"
435,"Dog Food Grain Free #15","Yes","Yes"
439,"Dog Food Grain Free Premium #19","Yes","Yes"
441,"Cat Food Salmon Classic #21","Yes","Yes"
446,"Tomato Sauce Jar Classic","Yes","Yes"
447,"Beans in Water Classic","Yes","Yes"
450,"Olives in Brine Premium","Yes","Yes"
454,"Chickpeas in Brine Family Pack","Yes","Yes"
457,"Beans in Water Family Pack","Yes","Yes"
458,"Chickpeas in Brine Premium #13","Yes","Yes"
461,"Chickpeas in Brine Premium #16","Yes","Yes"
464,"Sweet Corn Premium","Yes","Yes"
467,"Chickpeas in Brine Classic #22","Yes","Yes"
469,"Olives in Brine Premium #24","Yes","Yes"
470,"Chickpeas in Brine Family Pack #25","Yes","Yes"
475,"Chickpeas in Brine Family Pack #30","Yes","Yes"
477,"Green Tea Family Pack","Yes","Yes"
478,"Arabica Coffee Beans Small Pack","Yes","Yes"
479,"Ground Coffee Medium Roast Family Pack","Yes","Yes"
