"product_id","product_name","category_name","price"
1,"Raspberries Family Pack","Fruits","31.81"
2,"Pears Classic","Fruits","33.65"
3,"Blueberries Family Pack","Fruits","42.16"
4,"Bananas Premium","Fruits","37.46"
5,"Raspberries Classic","Fruits","42.85"
6,"White Grapes","Fruits","9.35"
8,"White Grapes Family Pack","Fruits","16.98"
9,"Blueberries","Fruits","32.38"
10,"Raspberries Family Pack #10","Fruits","30.47"
11,"Plums Premium","Fruits","3.94"
12,"Kiwi Small Pack","Fruits","39.05"
13,"Blueberries Family Pack #13","Fruits","33.06"
14,"Plums Premium #14","Fruits","10.51"
15,"Bananas Family Pack #15","Fruits","28.02"
16,"Plums","Fruits","43.84"
17,"Raspberries Premium","Fruits","34.08"
18,"Blueberries Small Pack","Fruits","1.24"
19,"Bananas Premium #19","Fruits","37.21"
20,"Blueberries #20","Fruits","42.01"
21,"Red Apples Classic","Fruits","40.95"
22,"Bananas Classic","Fruits","32.49"
23,"Kiwi","Fruits","8.18"
24,"Mandarins Premium","Fruits","18.22"
25,"Kiwi Classic","Fruits","11.74"
26,"Raspberries Family Pack #26","Fruits","26.35"
27,"Bananas Classic #27","Fruits","37.98"
28,"Mandarins","Fruits","6.78"
29,"Plums Family Pack","Fruits","5.15"
30,"Plums Small Pack","Fruits","38.16"
31,"White Grapes Classic","Fruits","11.77"
32,"Blueberries Premium","Fruits","20.94"
33,"Raspberries Classic #33","Fruits","42.67"
34,"Kiwi Family Pack","Fruits","38.19"
35,"Plums Premium #35","Fruits","40.84"
36,"Kiwi Family Pack #36","Fruits","9.25"
37,"Red Apples Classic #37","Fruits","26.16"
38,"Bananas Family Pack #38","Fruits","4.04"
39,"Mandarins #39","Fruits","26.61"
40,"Raspberries Premium #40","Fruits","41.20"
41,"Plums Family Pack #41","Fruits","29.92"
42,"Red Apples Small Pack","Fruits","27.75"
43,"Mandarins #43","Fruits","12.47"
44,"Pears Family Pack","Fruits","19.90"
45,"Raspberries Premium #45","Fruits","41.07"
7,"Bananas Family Pack","Fruits","38.27"
